id_family_datalake,question_name,time_first,time_last
3.13.9.2022.376760R_C9wRCX0hqqzoUPn,CategoriaIGF,0,2
3.8.11.2021.337257R_1CDgP09BV3eYTaE,CategoriaIGF,0,2
4.27.7.2022.962760R_3JqnTxFNfClTT7O,AverageEnvironment,0,3
4.11.8.2022.592450R_1oiq4P7gGMlyVPc,JobSatisfaction,0,3
1.21.10.2021.292853R_OvaDaY854MKEcpj,Income,0,2
3.03.2023.187448R_1IbjIvJIJQkVueU,HousingProblems,0,3
3.03.2023.458848R_umtdLpmTfjIiwgh,FoodManytimes,0,3
3.07.2023.89923R_1GK6VOz3FUHSQ22,CategoriaWomanAutonomy,0,3
4.11.7.2022.221060R_2Qs8SGZ9RrBU5KE,Income,0,3
4.10.2022.206581R_2qEHrUOBHAfpzl0,Race,0,0
1.18.3.2022.969138R_vqPKX4oWVX0W4lX,FoodManytimes,1,3
1.17.3.2022.902929R_s67brkhd6j2zKcF,CategoriaIncome,0,3
2.6.3.2022.654306R_1DCNvm72g6GNLdm,SchoolLiteracy,0,3
3.02.2023.119304R_29fYpFk2MOyXwnh,Walls,0,2
4.07.2023.280682R_2ypSlK4Str2H4ua,IncomeDesc,0,3
1.24.2.2022.221155R_3qx2HRqgb0a9bHu,Floor,1,3
1.16.3.2022.550001R_3EEBNiu2v4mWBqI,Roof,1,3
1.24.3.2022.694036R_BV6HmhbHUsnwG9H,CategoriaCulture,0,2
3.13.11.2021.749153R_3JhmVuOHm2qrk8Z,CulturalEvent,0,3
2.19.2.2022.756725R_1CI5KujkxlBAEwM,Garbage,0,3
4.22.7.2022.381921R_RVRBjEHJ7ercPst,CulturalEvent,0,2
3.16.9.2022.778810R_07EtdLMZf8ZBBND,AverageHousing,0,2
1.23.2.2022.344519R_3DtCBOWMkTlAzio,AverageCitizenship,0,2
3.11.11.2021.929162R_3nOcAMyo1t5G8SF,Income,0,3
4.21.3.2022.202399R_1Fh1J6c1wmo28sv,AverageHousing,0,3
4.15.9.2022.944801R_1hySDyMTqdrJk6T,AverageCulture,0,3
4.15.9.2022.977807R_1H5IabSsyBR5Ue4,AverageEnvironment,0,3
4.08.2023.193979R_1k0a76ICp4L8HYQ,Eletricity,0,3
1.23.3.2022.413176R_1ML3eAhUpKv3Wom,Roof,1,3
4.20.7.2022.391821R_1gwE29U86ctZsDU,AverageHealth,0,3
2.16.2.2022.209408R_1M5NwT4RogqWtx1,HowManyPHHH,0,0
4.13.7.2022.273762R_1kY7v7PiV6967TH,FoodManytimes,0,2
2.29.1.2022.389584R_NWw5MHt5HdPeqDT,AverageEnvironment,0,3
1.17.3.2022.675705R_22zwAMvkVlCQGDg,Bathroom,0,2
2.8.2.2022.875854R_1Ca2PNaixIFQXyF,Walls,1,3
1.17.3.2022.902929R_s67brkhd6j2zKcF,IncomeWorkS3,0,3
4.2.8.2022.539633R_25BdQ9nd4VqYEym,Internet,0,3
4.13.4.2022.542784R_10ZcQZwf746jyhK,AverageSchooling,0,3
4.19.9.2022.252190R_1KeBVceIdw0WZic,HousingProblems,0,3
4.22.7.2022.661408R_2b3jklJph2IGZNm,CategoriaHousing,0,3
2.6.3.2022.678972R_33fJSXkamkHS3K7,Internet,0,3
3.02.2023.119304R_29fYpFk2MOyXwnh,AverageCitizenship,0,2
3.07.2023.490189R_uqRgWQAZuiUM9Ud,WaterFrequency,0,3
1.3.7.2021.628945R_324350,Eletricity,0,3
1.22.3.2022.327680R_2uwwGAsqNSxCd3a,Sewer,0,3
2.29.1.2022.439359R_1IKIcTbe7ZMBGXw,CategoriaIncome,1,3
1.23.3.2022.725909R_2veQn5NChyAJnXZ,Gender,0,0
4.22.7.2022.661408R_2b3jklJph2IGZNm,Sewer,0,3
3.10.11.2021.631006R_1r1B3m4Y6EvGFdI,CommFacilities,0,2
3.8.9.2022.484734R_2R48owjYHoOZQnM,IncomeDesc,0,2
1.15.3.2022.155190R_ZE1ltzskFjWLkxr,CommFacilities,0,3
3.07.2023.254983R_yJgdVgRD8larfrj,Income,0,3
4.15.9.2022.977807R_1H5IabSsyBR5Ue4,CategoriaIncome,0,3
4.27.7.2022.863840R_2B3gXTB28aRFrSk,AverageEnvironment,0,3
4.30.11.2021.966140R_2QRIsBc88iiMCpw,CategoriaSchooling,0,2
4.20.9.2022.176515R_3qV7YOa6HkOJUPC,Garbage,0,3
4.1.8.2022.152492R_1kNdxc6sijdBGPv,AverageEnvironment,0,3
3.10.6.2022.161946R_1CHgyHr28MF0Em6,Walls,0,2
1.3.7.2021.897422R_745932,AverageCulture,0,3
3.12.11.2021.643214R_2tskXxpspmncWB3,Gender,0,0
1.23.3.2022.849660R_1l9wK8RUTss5qHW,AverageIncome,0,2
3.13.11.2021.195345R_VX8wg1p267NVI7D,CEP,0,3
4.9.8.2022.377946R_2CkVFii8kcvqfO1,WaterFrequency,0,3
3.16.11.2021.281391R_pN4RxAzAZCYPkXL,CulturalEvent,0,3
3.02.2023.395044R_2vZCBeS7jaVr2yu,CommFacilities,0,3
4.21.3.2022.957010R_12MwmOJwfLeL7kJ,CommFacilities,0,3
3.02.2023.415758R_28J2jjcWg5TWcez,CategoriaIncome,0,3
4.11.7.2022.221060R_2Qs8SGZ9RrBU5KE,CategoriaHealth,0,3
4.6.7.2022.918612R_01J3AfbX1jX3Fg5,CategoriaEnvironment,0,3
2.1.4.2022.951692R_2rIqxLWt24exbXL,AverageFirstInfancy,1,3
1.17.3.2022.301346R_1DZw4AeFmudDM2Q,DreamsKids,0,3
2.26.1.2022.528925R_2TZuGRFALvlv4rL,HealthKids,1,3
1.24.2.2022.137450R_29uEFtsurNcOI1L,CommFacilities,0,2
4.10.11.2021.830452R_2c88XgH1l0Vwwdf,BathroomQualit,0,3
3.19.9.2022.607422R_2XcvibMFnQyWg6N,CommFacilities,0,2
4.21.3.2022.202399R_1Fh1J6c1wmo28sv,CategoriaCitizenship,0,3
3.02.2023.465385R_3MRHsyP3vB7E5vE,JobSatisfaction,0,3
1.23.3.2022.725909R_2veQn5NChyAJnXZ,AverageCulture,0,3
3.03.2023.387970R_3sbHvudCiR9QLzt,AverageEnvironment,0,2
3.13.11.2021.127765R_yCMZN9Z8V41u665,FamilyRelations,0,3
1.15.3.2022.191630R_8iu9ZQta2L72Eo1,Water,0,2
4.19.9.2022.475828R_10uVUSaj7g2Lwdt,AverageHousing,0,2
3.02.2023.465385R_3MRHsyP3vB7E5vE,IncomeDesc,0,3
4.10.8.2022.633980R_2CfaN6rPg5IovXX,Eletricity,0,3
1.23.2.2022.459975R_3qed0n4JH05DWlY,FamilyRelations,1,3
1.22.3.2022.571660R_2U8XiC33cD4pI4Z,AverageSchooling,0,2
4.22.7.2022.297885R_117WofCp0urcrHb,AverageCitizenship,0,3
3.03.2023.295117R_2xyMNz4TqAPGpCH,DreamsKids,0,3
1.3.3.2022.381240R_1Lha6Y53x1SBn4I,AverageIGF,0,2
2.01.2023.224263R_2CvmWK5TwbSZU4X,Eletricity,0,3
1.23.2.2022.544620R_1CygPlkxZsIfmfN,AverageIGF,0,3
4.7.7.2022.604664R_3CZyBcK6dyHhFEL,AverageIGF,0,3
3.03.2023.472402R_2CwghnrTdbIBzwx,AverageFirstInfancy,0,3
1.22.3.2022.659071R_DOHaGOcPKNkyIjn,AverageIncome,0,3
1.22.3.2022.863042R_BGuuMp31ikG6Mw1,Eletricity,0,3
3.02.2023.35287R_33vuKy2ZSrp4817,Internet,0,3
2.1.4.2022.710778R_1hydlIGtuIaMaLC,SchoolLiteracy,0,3
3.03.2023.207735R_1CyBhNkXAiB3M0Z,CEP,0,2
2.4.2.2022.928114R_06SgJCaZj9qJ2W5,Eletricity,0,3
1.22.3.2022.456871R_2cu6ixidevKGuzp,AverageHousing,0,2
3.9.11.2021.221846R_2ydQirwj4oDzizp,Roof,0,2
1.23.3.2022.598289R_1DvRrBApqzAtgRo,Documents,0,3
4.3.11.2021.955339R_31QPTREL3S4R2ea,CategoriaHousing,0,3
1.15.10.2021.167179R_5p6FavLKITRoClj,Roof,1,3
4.1.8.2022.775272R_2DSNXepCHYTwdZd,Garbage,0,3
1.15.3.2022.147339R_1FEXOr2MtRmhic3,CategoriaCitizenship,0,3
1.22.3.2022.567049R_1d01JzLs5ja7sLt,Bathroom,0,2
1.3.3.2022.618879R_e9ccCkO0w3fX2ff,AverageIncome,0,2
4.6.7.2022.382007R_A1Ek1LbNEXCcK6R,AverageSchooling,0,3
1.22.3.2022.863042R_BGuuMp31ikG6Mw1,AverageIGF,0,3
2.02.2023.342505R_OwWM33RkfQN3Lax,Eletricity,0,3
1.22.3.2022.168682R_1jTm53Io24vFxr5,Documents,0,3
3.10.11.2021.683600R_2t9fZazJBLIHcXX,Floor,0,2
1.3.7.2021.317475R_331743,IncomeDesc,0,2
