id_family_datalake,question,answer,time,FavelaID,Gender,Race,HowManyPHHH
1.11.3.2022.305139R_1hKnzTpsoM389fC,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Preta,4
1.14.12.2021.160144R_26h7fHaIHuHmFTf,SchoolLast,Superior,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Branca,1
1.15.10.2021.167179R_5p6FavLKITRoClj,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,6
1.15.3.2022.147339R_1FEXOr2MtRmhic3,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Branca,6
1.15.3.2022.155190R_ZE1ltzskFjWLkxr,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.15.3.2022.191630R_8iu9ZQta2L72Eo1,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,1
1.15.3.2022.262467R_3QPJxsWpCYM8crb,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Preta,1
1.15.3.2022.310389R_3JJci2Sz9rDhdel,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,1
1.15.3.2022.361715R_2txxhkI9AVTB98w,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Preta,3
1.15.3.2022.462136R_3s7Ce68YHn5ugJb,SchoolLast,Técnico profissionalizante,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.15.3.2022.548039R_2t3gtaNtJYCvQWT,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,4
1.15.3.2022.590683R_21aorRKmiHixtJW,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Preta,2
1.15.3.2022.853058R_cUB6PIrHhnqspPj,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.15.3.2022.907351R_1QiTuSGP951hZKs,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.16.3.2022.136383R_33D16Z7arIE8yaK,SchoolLast,Nunca estudei,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,2
1.16.3.2022.324788R_1pYCwdifcuLrVjz,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Branca,1
1.16.3.2022.367726R_2R3rJgWHaloL1Pu,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,5
1.16.3.2022.550001R_3EEBNiu2v4mWBqI,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.16.3.2022.655810R_3sdDmVg4xnTzpYf,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,6
1.16.3.2022.680945R_10w5VIUkjxoKqjG,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Preta,3
1.16.3.2022.708715R_2Ys6ZzkeeTZ7e7t,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,1
1.16.3.2022.912895R_2s5rqOIUqOEGUlA,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Branca,3
1.16.3.2022.984401R_2wLfJ8h6Y5WIXdG,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,1
1.17.3.2022.142446R_sofGNxVBYVEKrHH,SchoolLast,Nunca estudei,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,1
1.17.3.2022.166214R_6Am5aFDvngt6m0V,SchoolLast,Superior,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,4
1.17.3.2022.208946R_2vZfRZhWjWFnYUc,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Preta,2
1.17.3.2022.227815R_3J9QUueZjHCUjef,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.17.3.2022.301346R_1DZw4AeFmudDM2Q,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.17.3.2022.335323R_D0tW8LfSdENFhtv,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,2
1.17.3.2022.592798R_sUwGU1nGKuvIRu9,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),NA,NA,4
1.17.3.2022.659649R_306L4gibd3rP6p4,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,3
1.17.3.2022.675705R_22zwAMvkVlCQGDg,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,1
1.17.3.2022.698892R_1jeq0rUdZNEmKDF,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,1
1.17.3.2022.795552R_2q7saCrZXeFVMIQ,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,1
1.17.3.2022.902929R_s67brkhd6j2zKcF,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,5
1.17.3.2022.981869R_231crzdeCeer10g,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.18.3.2022.132381R_W8WFUBkOunND1wR,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,NA
1.18.3.2022.443413R_3sc6av5YzZGhArv,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Branca,1
1.18.3.2022.634911R_2BrClThbCEIefVM,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Preta,1
1.18.3.2022.802003R_1MRLTV9H8bT3eCG,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Homem cisgênero,Parda,1
1.18.3.2022.818693R_1cUhRXAOhDo7aTd,SchoolLast,Ensino médio,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Preta,7
1.18.3.2022.834218R_1o89kstTVLXbqRR,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,1
1.18.3.2022.969138R_vqPKX4oWVX0W4lX,SchoolLast,Superior,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Parda,1
1.19.3.2022.176618R_1QheVxk6ML5UbyM,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Branca,5
1.19.3.2022.737362R_1EgrxdfNHf5S45i,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Preta,3
1.22.2.2022.600886R_2QE5v2yj5FHwS4f,SchoolLast,Ensino fundamental,FIRST,Marte (São José do Rio Preto),NA,NA,1
1.22.2.2022.860984R_1d4E0tCyF5ahMFb,SchoolLast,Superior,FIRST,Marte (São José do Rio Preto),Mulher cisgênero,Preta,1
